hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,score_1,score_2,score_3,score_4,score_5,score_6,score_7,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,trans_7,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,zscore_7,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
a5cdede19c98f0afb288c3ec49bbb8ff,BEN DAVIDSON,US,26,45.0,49.0,52.0,19.0,31.0,36.0,42.0,29:57.87,13 rep,CAP+30,275.0 lb,03:27.93,CAP+10,04:54.38,-1797.87,13.0,-1674.2964504504505,275.0,-207.93,-8886.9860625,-294.38,0.400519074896599,-1.0673645186658616,0.05423176000238337,0.4766043749876008,-0.2518321812010199,-0.2458159492529742,-0.6314584382189136,1.0,0.8890316515058965,0.7083008118698699
61ad967118664763f73f99f3cfaac3cb,JORDAN HAYWARD,US,29,40.0,38.0,24.0,30.0,47.0,49.0,47.0,28:39.59,23 rep,15:46.32,265.0 lb,03:38.99,CAP+76,05:01.58,-1719.59,23.0,-946.32,265.0,-218.99,-1169.340271381579,-301.58,0.42204508862478074,-0.36102035190168846,0.4096164062692808,-0.05957554687344858,-1.0257952949791083,0.21931128057467678,-0.9401375782052268,1.0,0.8890316515058965,0.698237937721506
efbd691a4b831670ad7c8a0f2043fd1b,JOSH WOODHULL,US,32,49.0,41.0,55.0,34.0,22.0,43.0,39.0,CAP+3,22 rep,CAP+49,260.0 lb,03:19.81,CAP+52,04:52.70,-12667.474615384614,22.0,-1025.0794594594595,260.0,-199.81,-1709.03578125,-292.7,-2.58848524511716,-0.43165476857810575,0.3711674940512376,-0.32766550780397324,0.31639390233226033,0.18678490086644947,-0.55943330555544,1.0,0.8890316515058965,0.45576129010522054
b004622f51804d3141a3347a98f00f91,TROY CLAY,US,25,34.0,47.0,23.0,48.0,49.0,39.0,49.0,27:42.20,19 rep,15:28.72,245.0 lb,03:42.50,CAP+20,05:13.74,-1662.2,19.0,-928.72,245.0,-222.5,-4443.49303125,-313.74,0.43782661555196967,-0.6435580186073577,0.418208400928486,-1.1319353905955474,-1.271420116801991,0.02198457701143092,-1.4614623479598912,1.0,0.8890316515058965,0.3704093257240535
ba4c1defc4b2477f4877f3539f49b0a1,CALEB SOKOLOWSKI,US,25,33.0,51.0,41.0,49.0,50.0,44.0,25.0,27:33.10,12 rep,CAP+7,245.0 lb,03:43.38,CAP+54,04:38.56,-1653.1,12.0,-7175.556216216217,245.0,-223.38,-1645.7381597222222,-278.56,0.4403290008985008,-1.1379989353422788,-2.6313815653589607,-1.1319353905955474,-1.3330012687120012,0.19059972317790821,0.046778227695458946,1.0,0.8890316515058965,0.09523019318633641
0a03634eb204db20e4a051e7c8e65cba,JORDAN LUNDIN,US,29,47.0,57.0,42.0,39.0,27.0,38.0,41.0,CAP+3,0 rep,CAP+9,255.0 lb,03:23.78,CAP+20,04:54.30,-12667.474615384614,0.0,-5580.988168168168,255.0,-203.78,-4443.49303125,-294.3,-2.58848524511716,-1.9856119354592867,-1.8529429203266867,-0.5957554687344979,0.03857893292005334,0.02198457701143092,-0.628028669996844,1.0,0.8890316515058965,-0.1952913098802449
d8b0ad75f470f7720f7fea08335b3a7d,SKYLER OCETNIK,US,31,44.0,42.0,45.0,29.0,41.0,52.0,44.0,29:56.33,21 rep,CAP+17,265.0 lb,03:35.22,CAP+77,04:56.34,-1796.33,21.0,-2954.6407949125596,265.0,-215.22,-1154.1540340909091,-296.34,0.4009425554937042,-0.502289185254523,-0.570808681450001,-0.05957554687344858,-0.7619760419100847,0.2202265250253412,-0.7154877596596314,1.0,0.8890316515058965,0.6048933465589474
6e8764190a6d5280f221268edbbf95ec,JORDAN CHENIER,CA,27,53.0,36.0,48.0,53.0,51.0,31.0,29.0,CAP+7,25 rep,CAP+23,235.0 lb,03:44.91,14:54.61,04:43.75,-5428.917692307692,25.0,-2183.864935370153,235.0,-224.91,-894.61,-283.75,-0.5979732918931058,-0.21975151854885383,-0.19453015482314764,-1.6681153124565966,-1.4400684987373606,0.23586873002701741,-0.17572798571134216,1.0,0.8890316515058965,0.3089890754854122
788b30c4cf9feccdbeaffad51050667e,TYLER THOMPSON,US,25,48.0,34.0,47.0,54.0,53.0,46.0,36.0,CAP+3,27 rep,CAP+21,225.0 lb,03:53.73,CAP+71,04:50.19,-12667.474615384614,27.0,-2391.852072072072,225.0,-233.73,-1251.6881778169013,-290.19,-2.58848524511716,-0.07848268519601921,-0.2960656302621397,-2.2042952343176463,-2.057279589471785,0.21434833531403177,-0.4518243275879894,1.0,0.8890316515058965,-0.17698040229963308
9ae4a6fea798e2d4732f1391bdd2de5b,LUKE BURNS,US,25,60.0,50.0,54.0,51.0,33.0,33.0,46.0,CAP+21,13 rep,CAP+37,240.0 lb,03:28.23,CAP+1,04:59.75,-1809.6392307692306,13.0,-1357.5376625273923,240.0,-208.23,-88869.860625,-299.75,0.3972826847189214,-1.0673645186658616,0.2088675448939296,-1.400025351526072,-0.2728257557157951,-5.066225422012266,-0.8616816301253728,1.0,0.8890316515058965,-0.2626786982701774
204be12d95eb933648e13b2a84155d12,MITCH GRIFFITH,US,24,56.0,37.0,53.0,42.0,52.0,47.0,45.0,CAP+9,23 rep,CAP+35,255.0 lb,03:53.23,CAP+73,04:59.25,-4222.491538461539,23.0,-1435.1112432432433,255.0,-233.23,-1217.3953510273973,-299.25,-0.26622129968909686,-0.36102035190168846,0.17099755675722442,-0.5957554687344979,-2.0222902986138243,0.21641509608010862,-0.8402455787374343,1.0,0.8890316515058965,0.3607287451002953
23200f04050e87b57e0172c1ffb80f48,BRANDON FOOR,US,30,54.0,39.0,49.0,32.0,54.0,53.0,54.0,CAP+8,22 rep,CAP+24,265.0 lb,04:01.80,CAP+98,05:28.90,-4750.30298076923,22.0,-2092.870563063063,265.0,-241.8,-906.8353125,-328.9,-0.4113627962783506,-0.43165476857810575,-0.15010838431858836,-0.05957554687344858,-2.6220067439192705,0.23513193465044724,-2.111403426042184,1.0,0.8890316515058965,0.09603454702596781
f3a607a22939413903bd9ed6482f4d7d,ZANE PARISE,US,24,58.0,53.0,51.0,52.0,39.0,50.0,53.0,CAP+10,5 rep,CAP+24,235.0 lb,03:33.03,CAP+76,05:28.24,-3800.2423846153843,5.0,-2092.870563063063,235.0,-213.03,-1169.340271381579,-328.24,-0.1501081024176935,-1.6324398520772,-0.15010838431858836,-1.6681153124565966,-0.6087229479522175,0.21931128057467678,-2.0831078382101067,1.0,0.8890316515058965,0.02141862909764991
